Year,EMPLOYER_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,PHONE,FAX,CREATED_DATE,ACTIVE
2015,12781,Eli Lilly and Company,Lilly Corporate Center,,Indianapolis,IN,46285,United States,317-277-2000,,06/25/2015,Y
2013,4695,"Emerald Group, LLC",27 Deerpath Rd,,Deer Park,IL,60010,United States,312-882-6900,312-225-           ,,Y
2012,4695,"Emerald Group, LLC",27 Deerpath Rd,,Deer Park,IL,60010,United States,312-882-6900,312-225-           ,,Y
2011,4695,"Emerald Group, LLC",27 Deerpath Rd,,Deer Park,IL,60010,United States,312-882-6900,312-225-           ,,Y
,9261,Emissions Control Technologies,1843 W. Indiana Ave.,,Beecher,IL,60401,United States,8159312709,,09/03/2013,Y
2013,8241,EMSO Partners Limited,399 Park Avenue,,New York,NY,10022,United States,(212) 559-9231,,04/12/2013,Y
2015,12049,Emso Partners US LLC ,680 Fifth Ave.,Suite 1802,New York,NY,10019,United States,212-307-8903,,01/04/2015,Y
2014,10002,EMSO Partners US LLC ,680 Fifth Ave.,Suite 1802,New York,NY,10019,United States,212-307-8903,,01/06/2014,Y
,12048,Emso Partners US LLC ,680 Fifth Avenye,Suite 1802,New York,NY,10019,United States,212-307-8903,,01/04/2015,Y
2013,5086,ENBALA Power Networks,360 Bay St.,Ste 401,"Tornto, Ontario",AK,M5V2V6,Canada,416-623-2626,647-427-7041,05/31/2012,Y
2012,5086,ENBALA Power Networks,360 Bay St.,Ste 401,"Tornto, Ontario",AK,M5V2V6,Canada,416-623-2626,647-427-7041,05/31/2012,Y
2011,4755,"Enera, Inc","1525 E. 53rd St., Ste. 516-4",,Chicago,IL,60615,United States,773-955-4475, 773-955-499     ,,Y
2013,4566,EnerNOC Inc.,"101 Federal St., Ste. 1100",,Boston,MA,02110,United States,617-224-9900,617-224-9910      ,,Y
2012,4566,EnerNOC Inc.,"101 Federal St., Ste. 1100",,Boston,MA,02110,United States,617-224-9900,617-224-9910      ,,Y
2011,4566,EnerNOC Inc.,"101 Federal St., Ste. 1100",,Boston,MA,02110,United States,617-224-9900,617-224-9910      ,,Y
2013,8561,English Inc,444 N LaSalle,,Chicago,IL,60654,United States,312-222-6200,,06/07/2013,Y
2015,12118,"Environmental Health & Engineering, Inc.",117 Fourth Avenue.,,Needham,MA,02494,United States,781-247-4300,,01/27/2015,Y
2013,4326,Envista,"900 Cummings Center, Ste. 307V",,Beverly,MA,01915,United States,815-893-6049,      ,,Y
2012,4326,Envista,"900 Cummings Center, Ste. 307V",,Beverly,MA,01915,United States,815-893-6049,      ,,Y
2011,4326,Envista,"900 Cummings Center, Ste. 307V",,Beverly,MA,01915,United States,815-893-6049,      ,,Y
2015,12521,Enwave Chicago,200 W. Jackson Blvd,Suite 1310,Chicago,IL,60606,United States,312-447-1600,,05/11/2015,Y
2015,9401,Ernst & Young LLP,155 North Wacker Drive,,Chicago,IL,60606,United States,312-879-2000,,09/18/2013,Y
2014,9401,Ernst & Young LLP,155 North Wacker Drive,,Chicago,IL,60606,United States,312-879-2000,,09/18/2013,Y
2013,9401,Ernst & Young LLP,155 North Wacker Drive,,Chicago,IL,60606,United States,312-879-2000,,09/18/2013,Y
2012,4460,ESi Acquisition Inc,823 Broad St.,,Augusta ,GA,30901,United States,706-823-0911,706-826-9911        ,,Y
2012,4499,ESi Acquisition Inc,823 Broad St.,,Augusta ,GA,30901,United States,706-823-0911,706-826-9911        ,,Y
2012,4557,ESi Acquisition Inc,823 Broad St.,,Augusta ,GA,30901,United States,706-823-0911,706-826-9911        ,,Y
2011,4460,ESi Acquisition Inc,823 Broad St.,,Augusta ,GA,30901,United States,706-823-0911,706-826-9911        ,,Y
2011,4557,ESi Acquisition Inc,823 Broad St.,,Augusta ,GA,30901,United States,706-823-0911,706-826-9911        ,,Y
2013,5521,Espar Heater Systems,388 South Lake St,,Amherst,OH,44001,United States,440-986-1861,440-988-3677,07/18/2012,Y
2012,5521,Espar Heater Systems,388 South Lake St,,Amherst,OH,44001,United States,440-986-1861,440-988-3677,07/18/2012,Y
2015,12301,"Estrada Hinojosa & Company, Inc",1717 Main St.,"Ste. 4700, LB 47",Dallas,TX,75201,United States,214-658-1670,214-658-1671,03/17/2015,Y
2012,4739,"Estraqda Hinojosa& Co., Inc","1717 Main St., 47th Flr",,Dallas,TX,75201,United States,214-658-1670,   ,,Y
2012,4337,"Everbridge, Inc","505 N Brand Blvd, Ste. 700",,Glendale,CA,91203,United States,818-230-9509,   ,,Y
2015,4551,Exxon Mobil Corp.,"c/o Nielsen, Merksamer, et.al., 2350 Kerner Blvd, Ste. 250",,San Rafael,CA,94901,United States,415-389-6800,415-388-6874        ,,Y
2014,4551,Exxon Mobil Corp.,"c/o Nielsen, Merksamer, et.al., 2350 Kerner Blvd, Ste. 250",,San Rafael,CA,94901,United States,415-389-6800,415-388-6874        ,,Y
2013,4551,Exxon Mobil Corp.,"c/o Nielsen, Merksamer, et.al., 2350 Kerner Blvd, Ste. 250",,San Rafael,CA,94901,United States,415-389-6800,415-388-6874        ,,Y
2012,4551,Exxon Mobil Corp.,"c/o Nielsen, Merksamer, et.al., 2350 Kerner Blvd, Ste. 250",,San Rafael,CA,94901,United States,415-389-6800,415-388-6874        ,,Y
2011,4551,Exxon Mobil Corp.,"c/o Nielsen, Merksamer, et.al., 2350 Kerner Blvd, Ste. 250",,San Rafael,CA,94901,United States,415-389-6800,415-388-6874        ,,Y
2013,5525,F4 Consulting Ltd,758 N Larrabee,,Chicago,IL,60654,United States,312-593-5400,   ,07/20/2012,Y
2012,5525,F4 Consulting Ltd,758 N Larrabee,,Chicago,IL,60654,United States,312-593-5400,   ,07/20/2012,Y
2015,10321,F4 Consulting Ltd.,758 N. Larrabee St. #824,,Chicago,IL,60654,United States,312-593-5400,,01/18/2014,Y
2014,10321,F4 Consulting Ltd.,758 N. Larrabee St. #824,,Chicago,IL,60654,United States,312-593-5400,,01/18/2014,Y
,6561,Far South Community Development Corporation,9923 S Halsted St. Ste D,,Chicago,IL,60628,United States,773.941.4833,773.941.5252,10/31/2012,Y
2011,4860,F$ Consulting Ltd,2539 N. Southport Ave,,Chicago,IL,60614,United States,773-494-5695,        ,,Y
2012,6061,Federal Compliance Consulting LLC,11808 Becket Street,,Potomac,MD,20854,United States,3017625272,2405369192,09/16/2012,Y
2013,7622,Federal Signal,2645 Federal Signal Drive,,University Park,IL,60484,United States,708-476-9554,,01/25/2013,Y
2012,4424,Federal Signal Corp.,2645 Federal Signal Dr,,University Park,IL,60442,United States,708-534-3400,708-534-4853  ,,Y
2015,10442,Federal Signal Corporation,2645 Federal Signal Drive,,University Park,IL,60484,United States,708-476-9554,,01/27/2014,Y
2014,10442,Federal Signal Corporation,2645 Federal Signal Drive,,University Park,IL,60484,United States,708-476-9554,,01/27/2014,Y
2012,4270,"Fedota Childers, P.C.","70 W. Madison Street, Suite 3900",,Chicago,IL,60602,United States,312-853-9627,312-236-8559      ,,Y
2011,4270,"Fedota Childers, P.C.","70 W. Madison Street, Suite 3900",,Chicago,IL,60602,United States,312-853-9627,312-236-8559      ,,Y
2015,7082,"Fidelity Capital Markets, a division of National Financial Services LLC",82 Devonshire Street,Z2H,Boston,MA,02109,United States,617-563-4162,,01/09/2013,Y
2014,7082,"Fidelity Capital Markets, a division of National Financial Services LLC",82 Devonshire Street,Z2H,Boston,MA,02109,United States,617-563-4162,,01/09/2013,Y
2013,7082,"Fidelity Capital Markets, a division of National Financial Services LLC",82 Devonshire Street,Z2H,Boston,MA,02109,United States,617-563-4162,,01/09/2013,Y
2015,4504,Fidelity Consulting Group LLC,"120 W Madison St., Ste. 1406",,Chicago,IL,60602,United States,312-332-5311,312-332-5311       ,,Y
2015,4731,Fidelity Consulting Group LLC,"120 W Madison St., Ste. 1406",,Chicago,IL,60602,United States,312-332-5311,312-332-5311   ,,Y
2014,4731,Fidelity Consulting Group LLC,"120 W Madison St., Ste. 1406",,Chicago,IL,60602,United States,312-332-5311,312-332-5311   ,,Y
2013,4731,Fidelity Consulting Group LLC,"120 W Madison St., Ste. 1406",,Chicago,IL,60602,United States,312-332-5311,312-332-5311   ,,Y
2013,6641,Fidelity Consulting Group LLC,120 W Madison St.,Ste. 1406,Chicago,IL,60602,United States,312-332-5311,312-332-5311       ,11/14/2012,Y
2012,4504,Fidelity Consulting Group LLC,"120 W Madison St., Ste. 1406",,Chicago,IL,60602,United States,312-332-5311,312-332-5311       ,,Y
2012,4731,Fidelity Consulting Group LLC,"120 W Madison St., Ste. 1406",,Chicago,IL,60602,United States,312-332-5311,312-332-5311   ,,Y
2012,6641,Fidelity Consulting Group LLC,120 W Madison St.,Ste. 1406,Chicago,IL,60602,United States,312-332-5311,312-332-5311       ,11/14/2012,Y
2015,8521,"Fidelity Investments Institutional Services Company, Inc",82 Devonshire Street,O2N,Boston,MA,02109,United States,401-292-3267,,05/29/2013,Y
2015,12961,"Fidelity Investments Institutional Services Company, Inc",82 Devonshire Street,O2N,Boston,MA,02109,United States,401-292-7715,617-217-6777,07/19/2015,Y
2014,8521,"Fidelity Investments Institutional Services Company, Inc",82 Devonshire Street,O2N,Boston,MA,02109,United States,401-292-3267,,05/29/2013,Y
2013,8521,"Fidelity Investments Institutional Services Company, Inc",82 Devonshire Street,O2N,Boston,MA,02109,United States,401-292-3267,,05/29/2013,Y
2011,4862,Fifield Realty Corp,"550 W. Adams, Ste. 200",,Chicago,IL,60661,United States,312-855-1600,312-855-1730       ,,Y
2013,9201,"Fire Recovery USA, LLC",2271 Lava Ridge Court,Suite 120,Roseville,CA,95661,United States,9162003999,9169431661,08/27/2013,Y
2015,9501,First Southwest Company,525 Vine St.,Ste 2325,Cincinnati,OH,45202,United States,513-835-6658,513-381-8444,10/09/2013,Y
2014,9501,First Southwest Company,525 Vine St.,Ste 2325,Cincinnati,OH,45202,United States,513-835-6658,513-381-8444,10/09/2013,Y
2013,9361,First Southwest Company,525 Vine St.,Ste 2300,Cincinnati,OH,45202,United States,513-835-6658,513-381-8444,09/13/2013,Y
2013,9501,First Southwest Company,525 Vine St.,Ste 2325,Cincinnati,OH,45202,United States,513-835-6658,513-381-8444,10/09/2013,Y
2013,9601,First Southwest Company,325 N St. Paul St.,Ste. 800,Dallas,TX,75201,United States,617-619-4403,,11/07/2013,Y
,9521,First Southwest Company,54 Canal Street,Suite 320,Boston,MA,02113,United States,(617) 619-4400,,10/14/2013,Y
2015,12109,Fisher Cohen Waldman Shapiro LLP,1247 Waukegan Rd,Ste. 100,Glenview,IL,60025,United States,224-260-3000,224-260-3089,01/22/2015,Y
2014,11481,Fisher Cohen Waldman Shapiro LLP,1247 Waukegan Rd,,Glenview,IL,60025,United States,224-260-3000,224-260-3089,08/13/2014,Y
2015,12441,"Fisk Kart Kartz Regan & Levy, Ltd",77 W Washington,#900,Chicago,IL,60602,United States,312-726-1833,312-726-2274,04/23/2015,Y
2012,4094,"Fletcher, O'Brien, Kasper & Nottage, PC","222 N. LaSalle St., #300",,Chicago,IL,60601,United States,312-704-3297,312-704-3297        ,,Y
2012,4095,"Fletcher, O'Brien, Kasper & Nottage, PC","222 N. LaSalle St., #300",,Chicago,IL,60601,United States,312-704-3297,312-704-3297        ,,Y
2012,4286,"Fletcher, O'Brien, Kasper & Nottage, PC","222 N. LaSalle St., #300",,Chicago,IL,60601,United States,312-704-3297,312-704-3297  ,,Y
2011,4094,"Fletcher, O'Brien, Kasper & Nottage, PC","222 N. LaSalle St., #300",,Chicago,IL,60601,United States,312-704-3297,312-704-3297        ,,Y
2011,4095,"Fletcher, O'Brien, Kasper & Nottage, PC","222 N. LaSalle St., #300",,Chicago,IL,60601,United States,312-704-3297,312-704-3297        ,,Y
2011,4286,"Fletcher, O'Brien, Kasper & Nottage, PC","222 N. LaSalle St., #300",,Chicago,IL,60601,United States,312-704-3297,312-704-3297  ,,Y
2015,7081,"Fletcher, O'Brien, Kasper & Nottage, P.C.","222 N. LaSalle St., Suite 300",,Chicago,IL,60601,United States,(312) 704-3297,(312) 368-4944,01/09/2013,Y
2014,7081,"Fletcher, O'Brien, Kasper & Nottage, P.C.","222 N. LaSalle St., Suite 300",,Chicago,IL,60601,United States,(312) 704-3297,(312) 368-4944,01/09/2013,Y
2013,7081,"Fletcher, O'Brien, Kasper & Nottage, P.C.","222 N. LaSalle St., Suite 300",,Chicago,IL,60601,United States,(312) 704-3297,(312) 368-4944,01/09/2013,Y
2011,4761,Fluor Corp,"403 E Capitol St., SE",,Washington,DC,20003,United States,202-548-5800,202-548-5810  ,,Y
2012,4230,Flying Food Concessions LLC,6124 S. Kedvale Ave,,Chicago,IL,60629,United States,773-844-8714, 773-470-281     ,,Y
2011,4230,Flying Food Concessions LLC,6124 S. Kedvale Ave,,Chicago,IL,60629,United States,773-844-8714, 773-470-281     ,,Y
2015,10283,Foley & Lardner LLP,321 N. Clark Street ,Suite 2800,Chicago,IL,60654,United States,312-832-4546,312-832-4700,01/17/2014,Y
2014,10283,Foley & Lardner LLP,321 N. Clark Street ,Suite 2800,Chicago,IL,60654,United States,312-832-4546,312-832-4700,01/17/2014,Y
,10279,Foley & Lardner LLP,321 N. Clark Street - Suite 2800,,Chicago,IL,60654,United States,312-832-4546,312-832-4700,01/17/2014,Y
2015,4186,"Foley & Lardner, LLP",321 N Clark St. #2800,,Chicago,IL,60610,United States,312-832-4500,312-832-4700,,Y
2015,4429,"Foley & Lardner, LLP","321 N. Clark St., Ste. 2800",,Chicago,IL,60610,United States,312-832-4500,312-832-4700       ,,Y
2014,4186,"Foley & Lardner, LLP",321 N Clark St. #2800,,Chicago,IL,60610,United States,312-832-4500,312-832-4700,,Y
2014,4429,"Foley & Lardner, LLP","321 N. Clark St., Ste. 2800",,Chicago,IL,60610,United States,312-832-4500,312-832-4700       ,,Y
2013,4429,"Foley & Lardner, LLP","321 N. Clark St., Ste. 2800",,Chicago,IL,60610,United States,312-832-4500,312-832-4700       ,,Y
2013,7563,"Foley & Lardner, LLP",321 N Clark St. #2800,,Chicago,IL,60654,United States,312-832-4500,312-832-4700,01/22/2013,Y
2012,4164,"Foley & Lardner, LLP",321 N. Clark #2800,,Chicago,IL,60610,United States,312-832-4920,312-645-0141,,Y
2012,4186,"Foley & Lardner, LLP",321 N Clark St. #2800,,Chicago,IL,60610,United States,312-832-4500,312-832-4700,,Y
2012,4388,"Foley & Lardner, LLP",321 N. Clark #2800,,Chicago,IL,60610,United States,312-832-4920,312-645-0141      ,,Y
2012,4429,"Foley & Lardner, LLP","321 N. Clark St., Ste. 2800",,Chicago,IL,60610,United States,312-832-4500,312-832-4700       ,,Y
2011,4164,"Foley & Lardner, LLP",321 N. Clark #2800,,Chicago,IL,60610,United States,312-832-4920,312-645-0141,,Y
2011,4186,"Foley & Lardner, LLP",321 N Clark St. #2800,,Chicago,IL,60610,United States,312-832-4500,312-832-4700,,Y
2011,4388,"Foley & Lardner, LLP",321 N. Clark #2800,,Chicago,IL,60610,United States,312-832-4920,312-645-0141      ,,Y
2011,4429,"Foley & Lardner, LLP","321 N. Clark St., Ste. 2800",,Chicago,IL,60610,United States,312-832-4500,312-832-4700       ,,Y
2015,9681,F.O.O.D. Services LLC,5023 S Michigan,,Chicago,IL,60615,United States,773-268-8001,312-296-4601,11/13/2013,Y
2014,10461,F.O.O.D. Services LLC,5023 S Michigan Ave,,Chicago,IL,60615,United States,312-296-4601,,01/29/2014,Y
2013,9681,F.O.O.D. Services LLC,5023 S Michigan,,Chicago,IL,60615,United States,773-268-8001,312-296-4601,11/13/2013,Y
2012,6563,Foster Interstate Media,Pier 26 - The Embarcadero,,San Francisco,CA,94105,United States,415-538-7070,415-538-7080,10/31/2012,Y
,6521,Foster Interstate Media,Pier 26 � The Embarcadero,,San Francisco,CA,94105,United States,415-538-7070,415-538-7080,10/25/2012,Y
2015,6581,"Foster Interstate Media, Inc","1111 Broadway, Suite 1515",,Oakland,CA,94607,United States,510 832-7070,510 832-7071,11/02/2012,Y
2013,6581,"Foster Interstate Media, Inc","1111 Broadway, Suite 1515",,Oakland,CA,94607,United States,510 832-7070,510 832-7071,11/02/2012,Y
2012,6562,"Foster Interstate Media, Inc",Pier 26 - The Embarcadero,,San Francisco,CA,94105,United States,415-538-7070,415-538-7080,10/31/2012,Y
2012,6581,"Foster Interstate Media, Inc","1111 Broadway, Suite 1515",,Oakland,CA,94607,United States,510 832-7070,510 832-7071,11/02/2012,Y
,6502,"Foster Interstate Media, Inc",Pier 26 � The Embarcadero,,San Francisco,CA,94105,United States,415-538-7070,415-538-7080,10/24/2012,Y
2015,12062,"Foster Interstate Media, Inc.","1111 Broadway, Suite 1515",,Oakland,CA,94607,United States,510-832-7070,510-832-7071,01/09/2015,Y
2014,10341,"Foster Interstate Media, Inc.","1111 Broadway, Suite 1515",,Oakland,CA,94610,United States,510-832-7070,510-832-7080,01/19/2014,Y
2013,6602,"Foster Interstate Media,Inc.","1111 Broadway, Suite 1515",,Oakland,CA,94607,United States,510 832-7070,510 832-7071,11/05/2012,Y
2012,6602,"Foster Interstate Media,Inc.","1111 Broadway, Suite 1515",,Oakland,CA,94607,United States,510 832-7070,510 832-7071,11/05/2012,Y
,6601,"Foster Interstate Media,Inc.",Pier 26 - The Embarcadero,,San Francisco,CA,94105,United States,415-538-7070,415-538-7080,11/05/2012,Y
2012,6501,"Foster Intestate Media, Inc",Pier 26 - The Embarcadero,,San Francisco,CA,94105,United States,415-538-7070,415-538-7030,10/24/2012,Y
2012,6607,"Foster Intestate Media, Inc","1111 Broadway, Suite 1515",,Oakland,CA,94607,United States,510 832-7070,510 832-7071,11/06/2012,Y
2015,12281,"Fox, Swibel, Levin & Carroll, LLP",200 W Madison St,Ste 3000,Chicago,IL,60606,United States,312-224-1200,312-224-1201,03/16/2015,Y
2013,7263,Frank J. Olivo,12033 S. 72nd Court,,Palos Heights,IL,60463,United States,(312) 406-6060,,01/14/2013,Y
2012,4278,Frank Nagorka,3836 N. Kenneth Ave.,,Chicago,IL,60641,United States,773-283-7910,312-264-0737       ,,Y
2011,4278,Frank Nagorka,3836 N. Kenneth Ave.,,Chicago,IL,60641,United States,773-283-7910,312-264-0737       ,,Y
2015,10145,Frank Olivo,12033 S. 72nd Court,,Palos Heights,IL,60463,United States,312-406-6060,,01/13/2014,Y
2014,10145,Frank Olivo,12033 S. 72nd Court,,Palos Heights,IL,60463,United States,312-406-6060,,01/13/2014,Y
2012,4237,Frank Olivo,4140 W. 65th St.,,Chicago,IL,60629,United States,312-406-6060,773-581-9414      ,,Y
2011,4237,Frank Olivo,4140 W. 65th St.,,Chicago,IL,60629,United States,312-406-6060,773-581-9414      ,,Y
2015,4107,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520    ,,Y
2015,4124,Freeborn & Peters LLP,311 S. Wacker Dr. Ste. 3000,,Chicago,IL,60606,United States,312-360-6000,312-360-6520      ,,Y
2014,4124,Freeborn & Peters LLP,311 S. Wacker Dr. Ste. 3000,,Chicago,IL,60606,United States,312-360-6000,312-360-6520      ,,Y
2014,4161,Freeborn & Peters LLP,217 W. Monroe St.,,Springfield,IL,62701,United States,217-535-1060,217-535-1069     ,,Y
2014,4194,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520      ,,Y
2014,4356,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520        ,,Y
2013,4107,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520    ,,Y
2013,4124,Freeborn & Peters LLP,311 S. Wacker Dr. Ste. 3000,,Chicago,IL,60606,United States,312-360-6000,312-360-6520      ,,Y
2013,4724,Freeborn & Peters LLP,217 East Monroe St.,,Springfield,IL,62701,United States,217-535-1060,217-535-1069     ,,Y
2012,4107,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520    ,,Y
2012,4124,Freeborn & Peters LLP,311 S. Wacker Dr. Ste. 3000,,Chicago,IL,60606,United States,312-360-6000,312-360-6520      ,,Y
2012,4161,Freeborn & Peters LLP,217 W. Monroe St.,,Springfield,IL,62701,United States,217-535-1060,217-535-1069     ,,Y
2012,4194,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520      ,,Y
2012,4343,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520       ,,Y
2012,4356,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520        ,,Y
2012,4724,Freeborn & Peters LLP,217 East Monroe St.,,Springfield,IL,62701,United States,217-535-1060,217-535-1069     ,,Y
2011,4107,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520    ,,Y
2011,4124,Freeborn & Peters LLP,311 S. Wacker Dr. Ste. 3000,,Chicago,IL,60606,United States,312-360-6000,312-360-6520      ,,Y
2011,4161,Freeborn & Peters LLP,217 W. Monroe St.,,Springfield,IL,62701,United States,217-535-1060,217-535-1069     ,,Y
2011,4194,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520      ,,Y
2011,4343,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520       ,,Y
2011,4356,Freeborn & Peters LLP,"311 S. Wacker Dr., Ste. 3000",,Chicago,IL,60606,United States,312-360-6000,312-360-6520        ,,Y
2011,4724,Freeborn & Peters LLP,217 East Monroe St.,,Springfield,IL,62701,United States,217-535-1060,217-535-1069     ,,Y
2015,12621,"Gayles and Associates, Inc.",1507 East 53rd St,Ste 828,Chicago,IL,60615,United States,312-285-8982,,05/20/2015,Y
2015,12561,Gayles and Associates LLC,1507 East 53rd St,Ste 222,Chicago,IL,60615,United States,312-285-8982,,05/19/2015,Y
2013,8023,General Electric,500 W. Monroe,,Chicago,IL,60661,United States,312-441-6723,,03/14/2013,Y
,8021,General Electric,500 W. Monroe ,,Chicago,IL,60661,United States,312-441-6723,,03/14/2013,Y
,8022,General Electric,500 W. Monore,,Chicago,IL,60661,United States,312-441-6723,,03/14/2013,Y
2015,4936,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5144,312-960-5476      ,,Y
2015,8901,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60606,United States,312-960-5000,      ,07/17/2013,Y
2014,4235,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5000,     ,,Y
2014,4936,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5144,312-960-5476      ,,Y
2013,4936,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5144,312-960-5476      ,,Y
2013,8901,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60606,United States,312-960-5000,      ,07/17/2013,Y
2012,4234,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5000,     ,,Y
2012,4235,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5000,     ,,Y
2012,4485,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5000,      ,,Y
2011,4234,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5000,     ,,Y
2011,4235,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5000,     ,,Y
2011,4485,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5000,      ,,Y
2011,4936,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-960-5144,312-960-5476      ,,Y
,8061,General Growth Properties,110 N. Wacker Dr.,,Chicago,IL,60611,United States,312-440-3586,      ,03/21/2013,Y
2015,6121,"Gene Schulter Group, Inc",4326 N Bell Ave,,Chicago,IL,60618,United States,773-539-1683,,09/25/2012,Y
2014,6121,"Gene Schulter Group, Inc",4326 N Bell Ave,,Chicago,IL,60618,United States,773-539-1683,,09/25/2012,Y
2013,6121,"Gene Schulter Group, Inc",4326 N Bell Ave,,Chicago,IL,60618,United States,773-539-1683,,09/25/2012,Y
2012,6121,"Gene Schulter Group, Inc",4326 N Bell Ave,,Chicago,IL,60618,United States,773-539-1683,,09/25/2012,Y
,11401,George Gedrimas,1201 Prairie Ave,Apt. 4304,Chicago,IL,60605,United States,609-774-0896,,07/18/2014,Y
2012,4115,George K Baum & Co.,"11 S. LaSalle St., Ste 800",,Chicago,IL,60603,United States,312-641-3611,312-641-3625      ,,Y
2012,4450,George K Baum & Co.,"11 S. LaSalle St., Ste 800",,Chicago,IL,60603,United States,312-641-3611,312-641-3625      ,,Y
2012,4618,George K Baum & Co.,"11 S. LaSalle St., Ste 800",,Chicago,IL,60603,United States,312-641-3611,312-641-3625      ,,Y
2011,4115,George K Baum & Co.,"11 S. LaSalle St., Ste 800",,Chicago,IL,60603,United States,312-641-3611,312-641-3625      ,,Y
2011,4450,George K Baum & Co.,"11 S. LaSalle St., Ste 800",,Chicago,IL,60603,United States,312-641-3611,312-641-3625      ,,Y
2011,4618,George K Baum & Co.,"11 S. LaSalle St., Ste 800",,Chicago,IL,60603,United States,312-641-3611,312-641-3625      ,,Y
2014,7348,George K. Baum & Co.,"1 N. LaSalle St., Ste 1725",,Chicago,IL,60602,United States,312-641-3611,312-641-3625,01/15/2013,Y
2013,7348,George K. Baum & Co.,"1 N. LaSalle St., Ste 1725",,Chicago,IL,60602,United States,312-641-3611,312-641-3625,01/15/2013,Y
2015,6801,george K. baum & company,1 N. La Salle St,suite 1725,chicago,IL,60622,United States,312-641-3611,312-641-3625,12/27/2012,Y
2015,6881,george K. baum & company,1 N. La Salle St,suite 1725,chicago,IL,60602,United States,312-641-3611,312-641-3625,01/02/2013,Y
2014,6881,george K. baum & company,1 N. La Salle St,suite 1725,chicago,IL,60602,United States,312-641-3611,312-641-3625,01/02/2013,Y
2013,6881,george K. baum & company,1 N. La Salle St,suite 1725,chicago,IL,60602,United States,312-641-3611,312-641-3625,01/02/2013,Y
2014,4409,Gerardo Reyes,"1542 W. Diversey Pkwy, #1",,Chicago,IL,60614,United States,312-924-9475,312-924-9496      ,,Y
2013,4409,Gerardo Reyes,"1542 W. Diversey Pkwy, #1",,Chicago,IL,60614,United States,312-924-9475,312-924-9496      ,,Y
2012,4409,Gerardo Reyes,"1542 W. Diversey Pkwy, #1",,Chicago,IL,60614,United States,312-924-9475,312-924-9496      ,,Y
2011,4409,Gerardo Reyes,"1542 W. Diversey Pkwy, #1",,Chicago,IL,60614,United States,312-924-9475,312-924-9496      ,,Y
2011,4788,GE Transportation Systems Global Signaling LLC,2712 S. Dillingham,,Grain Valley,MO,64029,United States,816-650-4596, 866-741-282   ,,Y
2012,5161,Ghafari Associates LLC,360 N Michigan Ave,Ste. 1800,Chicago,IL,60601,United States,312-984-2300,312-984-8248,06/13/2012,Y
2011,5161,Ghafari Associates LLC,360 N Michigan Ave,Ste. 1800,Chicago,IL,60601,United States,312-984-2300,312-984-8248,06/13/2012,Y
2015,7801,"Ghafari Associates, LLC ","122 S. Michigan Avenue, Suite 1500",,Chicago,IL,60603,United States,312-857-2182,312-984-8248,02/01/2013,Y
2014,7801,"Ghafari Associates, LLC ","122 S. Michigan Avenue, Suite 1500",,Chicago,IL,60603,United States,312-857-2182,312-984-8248,02/01/2013,Y
